date,CLEARNESS_INDEX,CLOUD_AMOUNT_DAY,EVAPORATION_LAND,EVAPOTRANSPIRATION,EVAPOTRANSPIRATION_ENERGY_FLUX,LONGWAVE_RADIATION,PRECIPITATION_AVG,PRECIPITATION_MAX,PRECIPITATION_MIN,RELATIVE_HUMIDITY,SOIL_HEAT_FLUX,SOIL_TEMP_LAYER1,SOIL_TEMP_LAYER2,SOLAR_RADIATION,SURFACE_PRESSURE,TEMPERATURE,TEMPERATURE_MAX,TEMPERATURE_MIN,WIND_SPEED,source
2026-03-20,0.6787470724900488,38.55035130119415,3.3717693009733996,3.73155989722329,105.97630108114143,333.284678209044,3.546863536503844,4.07889306697942,3.0148340060282672,75.37142439026138,1.1660360152009348,14.5174601939947,13.085265034319518,15.676592415839728,96.4412641341141,13.452030890408308,20.58021897015741,6.905252749994539,2.3115689611793355,Synthetic deterministic publication-reference demo; not NASA POWER
2026-03-21,0.5382167428525404,55.41399085769516,2.851592151290263,3.528577628942743,100.2116046619739,337.9141532541289,0.0,0.0,0.0,69.23667602299231,1.0748213295966647,13.854550452727871,13.690406807385308,14.051158752668073,97.42659214294652,13.250231875626426,20.69230403494331,7.134532478904722,3.31268527821451,Synthetic deterministic publication-reference demo; not NASA POWER
2026-03-22,0.5378016244243944,55.46380506907268,3.2415952719252052,4.022400001641813,114.23616004662749,335.5041777264311,0.0,0.0,0.0,71.20934016371653,3.400468276806058,14.921379172267956,13.143203260217627,14.851689677181392,96.83254987341736,13.655018949728206,22.188024103810424,7.032809387699598,2.1997828837635147,Synthetic deterministic publication-reference demo; not NASA POWER
2026-03-23,0.5625635813097875,52.49237024282551,3.280744214834288,3.976187250288379,112.92371790818996,355.7828064945646,7.561090238802539,8.69525377462292,6.426926702982158,70.84650462553844,2.4987241446950703,16.51549932186102,16.278293436876694,13.323277420259277,97.31501548980073,14.699257400099782,22.838303362838595,6.96595262963462,1.2730429718548402,Synthetic deterministic publication-reference demo; not NASA POWER
2026-03-24,0.6291875265625295,44.49749681249645,3.160257021393352,3.876066066891022,110.08027629970502,346.5791159600139,0.0,0.0,0.0,69.11507193108449,2.0773105038397968,14.735284988818087,12.690161585891472,17.104135957612208,97.2568584136904,13.34830389883924,19.786420001978765,6.056986432881965,2.1689197896984815,Synthetic deterministic publication-reference demo; not NASA POWER
2026-03-25,0.7454173479925692,30.5499182408917,2.981565177822567,3.9313754869588275,111.6510638296307,346.05873231180334,0.0,0.0,0.0,70.57455906786201,2.302274725677539,18.61433422840425,17.16456373845116,16.82169019873454,96.63705562833218,16.790976572907994,23.393688054583894,9.6493934875891,2.4949030084975536,Synthetic deterministic publication-reference demo; not NASA POWER
2026-03-26,0.541102495936123,55.067700487665235,3.730841947374606,4.438679243921186,126.05849052736167,344.74053343483496,0.0,0.0,0.0,69.45641988175005,4.168039005425544,17.21902338926027,16.418206411916362,16.168356485678295,96.98915485096784,15.719250514107294,24.5415428866439,8.959529007486104,3.3035841964468027,Synthetic deterministic publication-reference demo; not NASA POWER
2026-03-27,0.5492021334919011,54.09574398097188,2.9841629619682912,3.6173127198462316,102.73168124363298,339.9705343472959,0.0,0.0,0.0,70.60388724216112,-1.6480694859296927,16.708220293526068,15.619984266713288,15.129708837796317,96.05084646441284,14.774513751861424,21.898757713065248,8.079098257815298,1.9026332591403667,Synthetic deterministic publication-reference demo; not NASA POWER
2026-03-28,0.5733378825895044,51.199454089259476,3.235293353589802,3.662295187251301,104.00918331793694,350.1728210785795,2.5384946584697214,2.9192688572401795,2.157720459699263,67.87366036435128,5.303636501637835,14.608014391871707,13.811632374796861,16.77152910671052,96.03781008549664,14.385110966085588,21.572756468967256,8.371885194661424,3.697842680378079,Synthetic deterministic publication-reference demo; not NASA POWER
2026-03-29,0.6540282368784616,41.51661157458461,3.647616310607975,4.369501270259696,124.09383607537536,354.2423660158836,0.0,0.0,0.0,75.47258105983593,3.940729234706784,17.418917334344254,17.1921692308248,17.567126458705438,96.58355072328777,16.00473955398139,24.209647436345154,11.297829467391061,3.2139110225929732,Synthetic deterministic publication-reference demo; not NASA POWER
